id,nome,nacionalidade,email,telemovel,data_nascimento,consentimento_marketing
C001,Cliente 1,BR,cliente1@exemplo.com,914265799,1956-02-07,true
C002,Cliente 2,DE,cliente2@exemplo.com,990801586,1956-09-07,false
C003,Cliente 3,ES,cliente3@exemplo.com,970291817,1992-05-26,true
C004,Cliente 4,ES,cliente4@exemplo.com,966722344,1976-05-05,true
C005,Cliente 5,FR,cliente5@exemplo.com,923718431,1960-07-04,false
C006,Cliente 6,FR,cliente6@exemplo.com,991030736,1971-01-24,false
C007,Cliente 7,DE,cliente7@exemplo.com,926753883,1979-02-18,false
C008,Cliente 8,DE,cliente8@exemplo.com,958537831,1991-04-23,true
C009,Cliente 9,PT,cliente9@exemplo.com,998753260,1969-05-03,true
C010,Cliente 10,PT,cliente10@exemplo.com,961019678,1972-08-21,false
C011,Cliente 11,ES,cliente11@exemplo.com,959684848,1977-04-22,false
C012,Cliente 12,PT,cliente12@exemplo.com,991756179,1995-03-18,true
C013,Cliente 13,ES,cliente13@exemplo.com,972043515,1979-05-21,true
C014,Cliente 14,FR,cliente14@exemplo.com,917507864,1969-01-26,false
C015,Cliente 15,BR,cliente15@exemplo.com,945935572,1959-04-19,false
C016,Cliente 16,ES,cliente16@exemplo.com,997971488,1986-07-21,false
C017,Cliente 17,ES,cliente17@exemplo.com,945551614,1963-04-24,false
C018,Cliente 18,DE,cliente18@exemplo.com,967503414,1992-07-12,true
C019,Cliente 19,ES,cliente19@exemplo.com,978387461,1986-02-25,true
C020,Cliente 20,PT,cliente20@exemplo.com,930514014,1995-03-26,false
C021,Cliente 21,DE,cliente21@exemplo.com,918526544,1979-07-20,false
C022,Cliente 22,DE,cliente22@exemplo.com,943744231,1990-01-22,true
C023,Cliente 23,DE,cliente23@exemplo.com,945812670,2004-11-11,true
C024,Cliente 24,FR,cliente24@exemplo.com,968353204,1965-08-01,false
C025,Cliente 25,DE,cliente25@exemplo.com,933978249,1987-02-28,false
C026,Cliente 26,DE,cliente26@exemplo.com,991734598,1967-03-12,true
C027,Cliente 27,DE,cliente27@exemplo.com,981182864,1955-10-11,false
C028,Cliente 28,PT,cliente28@exemplo.com,925014631,1978-05-08,true
C029,Cliente 29,ES,cliente29@exemplo.com,986149359,1960-02-24,false
C030,Cliente 30,PT,cliente30@exemplo.com,981498611,2004-03-05,false
